"STRUCT_NAME","STRUCT_DESCRIPT","QUERY_DESCRIPT"
"JanusAgeModel","Age model (or Age Depth Model) interpretations based mostly on paleontological but also paleomagnetic and radio-isotopic analyses.","Age Model"
"JanusAgeProfile","Interpretations of fossil datums used to construct age models for holes.","Age Profile"
"JanusChemCarb","Measurements of carbonate data generated from instrumentation in the shipboard chemistry lab including weight percentages of inorganic, organic, and total carbon, calcium carbonate, nitrogen, sulfur, and hydrogen.","Chemical Carbonate"
"JanusChemCarbTest","Test for retrieving additional depth types (mcd) and depth options  (voids, exotics, compression), and formatted strings for float measurement fields for writing to datasets.","Chemical Carbonate Test"
"JanusChemGas","NEW:  Measurements of gas elements generated using gas chromatographs and natural gas analyzers in the shipboad chemistry lab.","Chemical Gas Element"
"JanusChemIw","NEW:  Measurements of elements,  compounds, salinity, alkalinity, and pH from interstitial (pore) water samples generated using gas chromatography, mass spectrometry, and atomic emissions spectrometry in the shipboard chemistry lab.","Chemical Interstitial Water"
"JanusChemRockEval","NEW:  Measurements of type and maturity of organic carbon and hydrocarbon potential (for safety purposes) by sample pyrolysis using RockEval instrumentation.","Chemical Rock Eval"
"JanusCoreCloseupImage","NEW:  URL links to closeup core photo images.","Core Closeup Image"
"JanusCoreImage","URL links to core and core-section photo images.","Core Image"
"JanusCoreLogSummary","NOT NEEDED, SEE OCD_CORE_SECTION_SUMMARY","Core Log Summary"
"JanusCoreSample","Information on samples taken from cores for shipboard laboratories to fulfill minimum data requirements and post-cruise for research proposals.","Core Sample"
"JanusCoreSampleTotal","NEW:  Summary statistics regarding the number of samples taken for particular laboratory purposes or in fulfillment of a sample request.","Core Sample Total"
"JanusCoreSectionSummary","NEW:  Summary of core and section depths and offsets.","Core Section Summary"
"JanusCoreSummary","Summary of core depth intervals and offsets.","Core Summary"
"JanusCryomag","Measurements of paleomagnetic data including declination, inclination and intensity taken with a cryogenic magnetometer and other equipment.","Paleomagnetics"
"JanusDht","Measurements of downhole temperature.","Downhole Temperature"
"JanusDigitalRgb","NEW:  Measurements of red, green, blue (RGB) values taken on cores with a line-scan camera.","Digital Imaging RGB"
"JanusGra","Measurements of gamma-ray attenuation and calculated bulk density acquired using sensors on the whole-core multi-sensing track (WC-MST).","Gamma-Ray Attenuation (GRA)"
